System check identified some issues:

WARNINGS:
?: (1_8.W001) The standalone TEMPLATE_* settings were deprecated in Django 1.8 and the TEMPLATES dictionary takes precedence. You must put the values of the following settings into your default TEMPLATES dict: TEMPLATE_CONTEXT_PROCESSORS.

[29/Nov/2017 15:34:54] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[29/Nov/2017 15:34:54] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[29/Nov/2017 15:35:36] "POST /rapido/login/ HTTP/1.1" 200 31
[29/Nov/2017 15:35:47] "GET /rapido/login/ HTTP/1.1" 200 8405
[29/Nov/2017 15:35:47] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[29/Nov/2017 15:35:47] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[29/Nov/2017 15:35:57] "POST /rapido/login/ HTTP/1.1" 302 0
[29/Nov/2017 15:35:57] "GET /rapido/master/ HTTP/1.1" 200 16227
[29/Nov/2017 15:35:57] "GET /static/dist/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 7785
[29/Nov/2017 15:35:57] "GET /static/dist/css/jquery.tagsinput.css HTTP/1.1" 200 880
[29/Nov/2017 15:35:57] "GET /static/dist/js/bootstrap-datetimepicker.js HTTP/1.1" 200 106566
[29/Nov/2017 15:35:57] "GET /static/dist/js/jquery.tagsinput.js HTTP/1.1" 200 12313
[29/Nov/2017 15:35:57] "GET /static/dist/js/state.js HTTP/1.1" 200 18013
[29/Nov/2017 15:35:57] "GET /static/dist/js/jquery.validate.min.js HTTP/1.1" 200 23261
[29/Nov/2017 15:35:57] "GET /static/dist/js/sweetalert.min.js HTTP/1.1" 200 40481
[29/Nov/2017 15:35:57] "GET /static/dist/js/moment.js HTTP/1.1" 200 128945
[29/Nov/2017 15:35:57] "GET /static/images/img/user2-160x160.jpg HTTP/1.1" 200 7070
[29/Nov/2017 15:36:05] "GET /rapido/admin_booking_list/ HTTP/1.1" 200 20384
[29/Nov/2017 15:36:09] "GET /rapido/admin_dutyslip_list/ HTTP/1.1" 200 20008
[29/Nov/2017 15:36:14] "GET /rapido/admin_receivetrip_list/ HTTP/1.1" 200 19447
[29/Nov/2017 15:36:16] "GET /rapido/admin_closetrip_list/ HTTP/1.1" 200 18362
[29/Nov/2017 15:36:18] "GET /rapido/admin_invoice_list/ HTTP/1.1" 200 18144
[29/Nov/2017 15:36:20] "GET /rapido/category/ HTTP/1.1" 200 23987
[29/Nov/2017 15:36:27] "GET /rapido/chauffeur/ HTTP/1.1" 200 25342
[29/Nov/2017 15:36:32] "GET /rapido/standard_ratecard/ HTTP/1.1" 200 87773
[29/Nov/2017 15:36:36] "GET /rapido/company_client/ HTTP/1.1" 200 26616
[29/Nov/2017 15:36:42] "GET /rapido/admin_dutyslip_list/ HTTP/1.1" 200 20008
[29/Nov/2017 15:36:53] "GET /rapido/admin_booking_list/ HTTP/1.1" 200 20384
[29/Nov/2017 15:38:20] "GET /rapido/company_client/ HTTP/1.1" 200 26616
Performing system checks...


You have unapplied migrations; your app may not work properly until they are applied.
Run 'python manage.py migrate' to apply them.
November 29, 2017 - 12:36:47
Django version 1.9.6, using settings 'rapido_travels.settings'
Starting development server at http://139.59.23.126:8000/
Quit the server with CONTROL-C.
Invalid login details: Admin, Admin
System check identified some issues:

WARNINGS:
?: (1_8.W001) The standalone TEMPLATE_* settings were deprecated in Django 1.8 and the TEMPLATES dictionary takes precedence. You must put the values of the following settings into your default TEMPLATES dict: TEMPLATE_CONTEXT_PROCESSORS.

System check identified 1 issue (0 silenced).
Error: That port is already in use.
System check identified some issues:

